age,workclass,education-num,occupation,race,sex,native-country,marital-status
"[17, 27[",Self-emp-not-inc,6,Adm-clerical,White,Male,United-States,Never-married
"[17, 27[",Self-emp-not-inc,6,Adm-clerical,Amer-Indian-Eskimo,Female,United-States,Married-spouse-absent
"[17, 27[",Private,6,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,6,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,6,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,6,Adm-clerical,White,Female,United-States,Married-civ-spouse
"[17, 27[",Private,6,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,6,Adm-clerical,Black,Male,United-States,Never-married
"[17, 27[",Private,6,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,6,Adm-clerical,White,Female,United-States,Never-married
"[27, 37[",Private,6,Adm-clerical,White,Male,United-States,Never-married
"[27, 37[",Private,6,Adm-clerical,Black,Female,United-States,Never-married
"[27, 37[",State-gov,6,Adm-clerical,White,Male,United-States,Married-civ-spouse
"[27, 37[",Private,6,Adm-clerical,White,Female,United-States,Never-married
"[27, 37[",Private,6,Adm-clerical,White,Male,United-States,Never-married
"[27, 37[",Private,6,Adm-clerical,White,Female,United-States,Widowed
"[27, 37[",Private,6,Adm-clerical,White,Female,Mexico,Married-spouse-absent
"[27, 37[",Private,6,Adm-clerical,Black,Male,United-States,Never-married
"[27, 37[",Private,6,Adm-clerical,White,Female,United-States,Married-civ-spouse
"[27, 37[",Private,6,Adm-clerical,White,Female,United-States,Married-civ-spouse
"[37, 47[",Private,6,Adm-clerical,White,Male,United-States,Married-civ-spouse
"[37, 47[",Private,6,Adm-clerical,Other,Female,United-States,Divorced
"[37, 47[",Private,6,Adm-clerical,White,Male,United-States,Separated
"[37, 47[",Private,6,Adm-clerical,Black,Female,United-States,Married-spouse-absent
"[37, 47[",Private,6,Adm-clerical,White,Female,United-States,Divorced
"[37, 47[",Private,6,Adm-clerical,White,Male,United-States,Married-civ-spouse
"[37, 47[",Private,6,Adm-clerical,Black,Male,United-States,Divorced
"[37, 47[",Private,6,Adm-clerical,White,Female,United-States,Divorced
"[37, 47[",Federal-gov,6,Adm-clerical,White,Male,Mexico,Married-civ-spouse
"[37, 47[",State-gov,6,Adm-clerical,Black,Female,United-States,Separated
"[37, 47[",Federal-gov,6,Adm-clerical,White,Female,United-States,Divorced
"[37, 47[",Private,6,Adm-clerical,White,Female,United-States,Married-civ-spouse
"[37, 47[",Private,6,Adm-clerical,Black,Male,United-States,Married-civ-spouse
"[47, 57[",Local-gov,6,Adm-clerical,White,Male,United-States,Married-civ-spouse
"[47, 57[",Private,6,Adm-clerical,White,Female,United-States,Married-civ-spouse
"[47, 57[",Private,6,Adm-clerical,Black,Female,United-States,Divorced
"[47, 57[",Private,6,Adm-clerical,Black,Female,Jamaica,Separated
"[47, 57[",Private,6,Adm-clerical,White,Female,United-States,Divorced
"[47, 57[",Private,6,Adm-clerical,Black,Female,United-States,Separated
"[47, 57[",Local-gov,6,Adm-clerical,White,Male,United-States,Married-civ-spouse
"[47, 57[",Private,6,Adm-clerical,White,Female,United-States,Separated
"[47, 57[",Private,6,Adm-clerical,Black,Male,United-States,Married-civ-spouse
"[47, 57[",Private,6,Adm-clerical,White,Female,United-States,Divorced
"[47, 57[",Federal-gov,6,Adm-clerical,Black,Female,United-States,Separated
"[47, 57[",Private,6,Adm-clerical,White,Female,United-States,Divorced
"[17, 27[",State-gov,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Male,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,Asian-Pac-Islander,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Local-gov,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Male,United-States,Never-married
"[17, 27[",Self-emp-not-inc,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,Black,Male,United-States,Never-married
"[17, 27[",Local-gov,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,Black,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Male,United-States,Married-civ-spouse
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Local-gov,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Male,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,Germany,Never-married
"[17, 27[",Private,7,Adm-clerical,Black,Male,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,Asian-Pac-Islander,Female,United-States,Never-married
"[17, 27[",Self-emp-not-inc,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Divorced
"[17, 27[",Private,7,Adm-clerical,Amer-Indian-Eskimo,Female,South,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Male,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Male,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Federal-gov,7,Adm-clerical,Black,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Married-civ-spouse
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Local-gov,7,Adm-clerical,White,Male,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Male,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Male,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Married-civ-spouse
"[17, 27[",Private,7,Adm-clerical,Black,Female,United-States,Never-married
"[17, 27[",Local-gov,7,Adm-clerical,Amer-Indian-Eskimo,Female,United-States,Never-married
"[17, 27[",Local-gov,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Federal-gov,7,Adm-clerical,Black,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Self-emp-not-inc,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[17, 27[",Private,7,Adm-clerical,White,Male,United-States,Never-married
"[17, 27[",Federal-gov,7,Adm-clerical,Amer-Indian-Eskimo,Female,United-States,Never-married
"[27, 37[",State-gov,7,Adm-clerical,Asian-Pac-Islander,Female,India,Separated
"[27, 37[",Private,7,Adm-clerical,White,Male,United-States,Married-civ-spouse
"[27, 37[",Private,7,Adm-clerical,White,Male,United-States,Never-married
"[27, 37[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[27, 37[",Private,7,Adm-clerical,Black,Female,United-States,Never-married
"[27, 37[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[27, 37[",Private,7,Adm-clerical,White,Female,Mexico,Married-civ-spouse
"[27, 37[",Private,7,Adm-clerical,White,Male,United-States,Never-married
"[27, 37[",Private,7,Adm-clerical,White,Male,United-States,Married-civ-spouse
"[27, 37[",Private,7,Adm-clerical,White,Male,Puerto-Rico,Married-civ-spouse
"[27, 37[",Private,7,Adm-clerical,White,Female,United-States,Widowed
"[27, 37[",Private,7,Adm-clerical,White,Female,United-States,Never-married
"[37, 47[",Private,7,Adm-clerical,White,Female,United-States,Widowed
"[37, 47[",Federal-gov,7,Adm-clerical,White,Female,United-States,Widowed
"[37, 47[",Private,7,Adm-clerical,Black,Female,United-States,Separated
"[37, 47[",Local-gov,7,Adm-clerical,White,Female,United-States,Divorced
"[37, 47[",Private,7,Adm-clerical,White,Male,United-States,Married-civ-spouse
"[37, 47[",Private,7,Adm-clerical,White,Female,United-States,Divorced
"[37, 47[",Private,7,Adm-clerical,White,Female,United-States,Married-civ-spouse
"[37, 47[",Private,7,Adm-clerical,White,Female,United-States,Widowed
"[37, 47[",Private,7,Adm-clerical,Black,Female,United-States,Separated
"[37, 47[",Private,7,Adm-clerical,White,Female,United-States,Divorced
"[17, 27[",Private,8,Adm-clerical,White,Female,Mexico,Never-married
"[17, 27[",Private,8,Adm-clerical,White,Male,United-States,Never-married
"[17, 27[",Private,8,Adm-clerical,White,Male,United-States,Never-married
"[17, 27[",Federal-gov,8,Adm-clerical,Black,Male,United-States,Never-married
"[17, 27[",Private,8,Adm-clerical,White,Female,United-States,Never-married
