age,workclass,education-num,occupation,race,sex,native-country,marital-status
39, State-gov,13, Adm-clerical, White, Male, United-States, Never-married
50, Self-emp-not-inc,13, Exec-managerial, White, Male, United-States, Married-civ-spouse
38, Private,9, Handlers-cleaners, White, Male, United-States, Divorced
53, Private,7, Handlers-cleaners, Black, Male, United-States, Married-civ-spouse
28, Private,13, Prof-specialty, Black, Female, Cuba, Married-civ-spouse
37, Private,14, Exec-managerial, White, Female, United-States, Married-civ-spouse
49, Private,5, Other-service, Black, Female, Jamaica, Married-spouse-absent
52, Self-emp-not-inc,9, Exec-managerial, White, Male, United-States, Married-civ-spouse
31, Private,14, Prof-specialty, White, Female, United-States, Never-married
42, Private,13, Exec-managerial, White, Male, United-States, Married-civ-spouse
37, Private,10, Exec-managerial, Black, Male, United-States, Married-civ-spouse
30, State-gov,13, Prof-specialty, Asian-Pac-Islander, Male, India, Married-civ-spouse
23, Private,13, Adm-clerical, White, Female, United-States, Never-married
32, Private,12, Sales, Black, Male, United-States, Never-married
34, Private,4, Transport-moving, Amer-Indian-Eskimo, Male, Mexico, Married-civ-spouse
25, Self-emp-not-inc,9, Farming-fishing, White, Male, United-States, Never-married
32, Private,9, Machine-op-inspct, White, Male, United-States, Never-married
38, Private,7, Sales, White, Male, United-States, Married-civ-spouse
43, Self-emp-not-inc,14, Exec-managerial, White, Female, United-States, Divorced
40, Private,16, Prof-specialty, White, Male, United-States, Married-civ-spouse
54, Private,9, Other-service, Black, Female, United-States, Separated
35, Federal-gov,5, Farming-fishing, Black, Male, United-States, Married-civ-spouse
43, Private,7, Transport-moving, White, Male, United-States, Married-civ-spouse
59, Private,9, Tech-support, White, Female, United-States, Divorced
56, Local-gov,13, Tech-support, White, Male, United-States, Married-civ-spouse
19, Private,9, Craft-repair, White, Male, United-States, Never-married
39, Private,9, Exec-managerial, White, Male, United-States, Divorced
49, Private,9, Craft-repair, White, Male, United-States, Married-civ-spouse
23, Local-gov,12, Protective-serv, White, Male, United-States, Never-married
20, Private,10, Sales, Black, Male, United-States, Never-married
45, Private,13, Exec-managerial, White, Male, United-States, Divorced
30, Federal-gov,10, Adm-clerical, White, Male, United-States, Married-civ-spouse
22, State-gov,10, Other-service, Black, Male, United-States, Married-civ-spouse
48, Private,7, Machine-op-inspct, White, Male, Puerto-Rico, Never-married
21, Private,10, Machine-op-inspct, White, Male, United-States, Never-married
19, Private,9, Adm-clerical, White, Female, United-States, Married-AF-spouse
48, Self-emp-not-inc,12, Prof-specialty, White, Male, United-States, Married-civ-spouse
31, Private,5, Machine-op-inspct, White, Male, United-States, Married-civ-spouse
53, Self-emp-not-inc,13, Prof-specialty, White, Male, United-States, Married-civ-spouse
24, Private,13, Tech-support, White, Male, United-States, Married-civ-spouse
49, Private,9, Adm-clerical, White, Female, United-States, Separated
25, Private,9, Handlers-cleaners, White, Male, United-States, Never-married
57, Federal-gov,13, Prof-specialty, Black, Male, United-States, Married-civ-spouse
53, Private,9, Machine-op-inspct, White, Male, United-States, Married-civ-spouse
44, Private,14, Exec-managerial, White, Female, United-States, Divorced
41, State-gov,11, Craft-repair, White, Male, United-States, Married-civ-spouse
29, Private,11, Prof-specialty, White, Male, United-States, Never-married
25, Private,10, Exec-managerial, Other, Female, United-States, Married-civ-spouse
47, Private,15, Prof-specialty, White, Female, Honduras, Married-civ-spouse
50, Federal-gov,13, Exec-managerial, White, Male, United-States, Divorced
47, Self-emp-inc,9, Exec-managerial, White, Male, United-States, Divorced
43, Private,10, Tech-support, White, Male, United-States, Married-civ-spouse
46, Private,3, Machine-op-inspct, White, Male, Mexico, Married-civ-spouse
35, Private,11, Other-service, White, Male, Puerto-Rico, Married-civ-spouse
41, Private,9, Adm-clerical, White, Male, United-States, Married-civ-spouse
30, Private,9, Machine-op-inspct, White, Male, United-States, Married-civ-spouse
30, Private,13, Sales, White, Male, United-States, Married-civ-spouse
48, Private,9, Transport-moving, White, Male, United-States, Married-civ-spouse
42, Private,16, Prof-specialty, White, Male, United-States, Married-civ-spouse
29, Private,10, Tech-support, White, Male, United-States, Divorced
36, Private,9, Craft-repair, White, Male, United-States, Married-civ-spouse
28, Private,10, Adm-clerical, White, Female, United-States, Divorced
53, Private,9, Adm-clerical, White, Female, United-States, Married-civ-spouse
