age,workclass,education-num,occupation,race,sex,native-country,marital-status
*, State-gov,*,*, White, Male, United-States, Never-married
*, Self-emp-not-inc,*,*, White, Male, United-States, Married-civ-spouse
*, Private,*,*, White, Male, United-States, Divorced
*, Private,*,*, Black, Male, United-States, Married-civ-spouse
*, Private,*,*, Black, Female, Cuba, Married-civ-spouse
*, Private,*,*, White, Female, United-States, Married-civ-spouse
*, Private,*,*, Black, Female, Jamaica, Married-spouse-absent
*, Self-emp-not-inc,*,*, White, Male, United-States, Married-civ-spouse
*, Private,*,*, White, Female, United-States, Never-married
*, Private,*,*, White, Male, United-States, Married-civ-spouse
*, Private,*,*, Black, Male, United-States, Married-civ-spouse
*, State-gov,*,*, Asian-Pac-Islander, Male, India, Married-civ-spouse
*, Private,*,*, White, Female, United-States, Never-married
*, Private,*,*, Black, Male, United-States, Never-married
*, Private,*,*, Amer-Indian-Eskimo, Male, Mexico, Married-civ-spouse
*, Self-emp-not-inc,*,*, White, Male, United-States, Never-married
*, Private,*,*, White, Male, United-States, Never-married
*, Private,*,*, White, Male, United-States, Married-civ-spouse
*, Self-emp-not-inc,*,*, White, Female, United-States, Divorced
*, Private,*,*, White, Male, United-States, Married-civ-spouse
*, Private,*,*, Black, Female, United-States, Separated
*, Federal-gov,*,*, Black, Male, United-States, Married-civ-spouse
*, Private,*,*, White, Male, United-States, Married-civ-spouse
*, Private,*,*, White, Female, United-States, Divorced
*, Local-gov,*,*, White, Male, United-States, Married-civ-spouse
*, Private,*,*, White, Male, United-States, Never-married
*, Private,*,*, White, Male, United-States, Divorced
*, Private,*,*, White, Male, United-States, Married-civ-spouse
*, Local-gov,*,*, White, Male, United-States, Never-married
*, Private,*,*, Black, Male, United-States, Never-married
*, Private,*,*, White, Male, United-States, Divorced
*, Federal-gov,*,*, White, Male, United-States, Married-civ-spouse
*, State-gov,*,*, Black, Male, United-States, Married-civ-spouse
*, Private,*,*, White, Male, Puerto-Rico, Never-married
*, Private,*,*, White, Male, United-States, Never-married
*, Private,*,*, White, Female, United-States, Married-AF-spouse
*, Self-emp-not-inc,*,*, White, Male, United-States, Married-civ-spouse
